# P, Q, R - are the transition branches.
# Units: wavenumbers in cm^-1.
# Columns: P, Q, R = line-center wavenumbers; J = rotational quantum number.
J,P,Q,R
0,nan,nan,22569.666
1,nan,22547.6,22588.612
2,nan,22544.492,22605.914
3,22478.849,22539.701,22621.515
4,22452.425,22533.267,22635.28
5,22424.508,22525.045,22647.078
6,22395.046,22514.957,22656.802
7,22363.892,22502.867,22664.183
8,22331.029,22488.603,22669.03
9,22296.238,22471.977,22671.063
10,22259.365,22452.754,22669.969
11,22220.215,22430.654,22665.347
12,22178.458,22405.275,22656.796
13,22133.885,22376.2,nan
