J,P,Q,R
0,nan,nan,22913.998
1,nan,22891.132,22935.889
2,22845.702,22890.11,22957.265
3,22822.056,22888.556,22978.061
4,22798.108,22886.473,22998.206
5,22773.745,22883.775,23017.625
6,22749.02,22880.425,23036.229
7,22723.895,22876.376,23053.906
8,22698.287,22871.528,23070.545
9,22672.196,22865.87,23086.026
10,22645.542,22859.179,23100.185
11,22618.244,22851.459,23112.848
12,22590.192,22842.439,23123.808
13,22561.277,22832.085,23132.901
14,22531.362,22820.119,23139.811
15,22500.277,22806.374,23144.328
16,22467.831,22790.593,23146.186
17,22433.736,22772.47,23144.737
18,22397.696,22751.663,23139.811
19,22359.5,22727.757,nan
20,22318.594,nan,nan
